epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2649.09,2.0274,2.45468,0.01594,0.37748,0.38399,0.23161,0.1441,1.97732,2.28704,0.01801,0.00112614,0.00112614,0.00112614
43,2709.8,2.00534,2.39718,0.01605,0.3869,0.3936,0.249,0.15519,1.99449,2.26165,0.01836,0.0011034,0.0011034,0.0011034
44,2770.91,1.95811,2.31044,0.01517,0.37298,0.36657,0.23123,0.14078,2.0199,2.31049,0.01866,0.00108049,0.00108049,0.00108049
45,2832.07,2.01475,2.40168,0.0159,0.39705,0.35834,0.2418,0.14883,2.02544,2.28782,0.01857,0.00105741,0.00105741,0.00105741
46,2893.51,1.96523,2.36487,0.01541,0.40824,0.37954,0.23411,0.14477,1.97671,2.29701,0.01774,0.0010342,0.0010342,0.0010342
47,2954.25,1.9188,2.2581,0.01521,0.39776,0.3945,0.2401,0.14763,1.98677,2.28721,0.01797,0.00101087,0.00101087,0.00101087
48,3015.44,1.99902,2.42395,0.01564,0.38942,0.38612,0.23817,0.14753,1.97346,2.3043,0.01777,0.000987445,0.000987445,0.000987445
49,3076.55,1.94253,2.36765,0.01539,0.39198,0.36805,0.25051,0.16044,1.96601,2.29999,0.01725,0.000963952,0.000963952,0.000963952
50,3137.37,1.98345,2.40962,0.01538,0.365,0.3834,0.24591,0.15637,1.94623,2.28837,0.01707,0.000940413,0.000940413,0.000940413
51,3198.08,1.92932,2.32989,0.01459,0.38459,0.3911,0.23491,0.14709,1.97565,2.2827,0.0179,0.00091685,0.00091685,0.00091685
52,3258.71,1.91454,2.32851,0.01472,0.37859,0.40288,0.23941,0.14772,1.97966,2.29613,0.01751,0.000893287,0.000893287,0.000893287
53,3319.45,1.94076,2.34617,0.01477,0.35277,0.41832,0.24709,0.15617,1.97758,2.26833,0.01785,0.000869748,0.000869748,0.000869748
